Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
1524060000,2018-04-18 02-PM,BTCUSD,8100.05,8100.05,7960,7960.2,60.65,485128.76
1524056400,2018-04-18 01-PM,BTCUSD,8088.81,8105.16,8080.73,8100.05,38.77,313751.89
1524052800,2018-04-18 12-PM,BTCUSD,8100.06,8111.82,8080,8088.81,49.27,398886.18
1524049200,2018-04-18 11-AM,BTCUSD,8092.04,8100.83,8078.7,8100.06,27.75,224403.29
1524045600,2018-04-18 10-AM,BTCUSD,8099,8107.45,8089.88,8092.04,17.03,137861.29
1524042000,2018-04-18 09-AM,BTCUSD,8090,8100.9,8082.52,8099,28.81,233182.07
1524038400,2018-04-18 08-AM,BTCUSD,8108.1,8111.09,8076.09,8090,36.17,292725.83
1524034800,2018-04-18 07-AM,BTCUSD,8125.16,8150,8099.3,8108.1,130.43,1060273.95
1524031200,2018-04-18 06-AM,BTCUSD,7915.98,8131.86,7875.17,8125.16,237.81,1904093.94
1524027600,2018-04-18 05-AM,BTCUSD,7922.17,7935.46,7915.98,7915.98,11.61,92000.98
1524024000,2018-04-18 04-AM,BTCUSD,7928.83,7929.46,7910.26,7922.17,24.31,192526.38
1524020400,2018-04-18 03-AM,BTCUSD,7912.34,7930,7909.99,7928.83,28.39,224928.14
1524016800,2018-04-18 02-AM,BTCUSD,7936.89,7949.76,7906.08,7912.34,14.33,113625.05
1524013200,2018-04-18 01-AM,BTCUSD,7910,7950,7910,7936.89,23.76,188498.15
1524009600,2018-04-18 12-AM,BTCUSD,7891.3,7923.46,7881.85,7910,40.76,322209.92
1524006000,2018-04-17 11-PM,BTCUSD,7896.49,7896.49,7863.97,7891.3,21.71,171058.55
1524002400,2018-04-17 10-PM,BTCUSD,7912.65,7917.33,7882.96,7896.49,51.04,402811.66
1523998800,2018-04-17 09-PM,BTCUSD,7918.25,7928.24,7899.84,7912.65,41.21,326249.65
1523995200,2018-04-17 08-PM,BTCUSD,7880.86,7927.35,7825.52,7918.25,130.66,1030226.14
1523991600,2018-04-17 07-PM,BTCUSD,7942,7942,7856.53,7880.86,231.73,1827134.09
1523988000,2018-04-17 06-PM,BTCUSD,8103.93,8103.93,7921,7942,179.77,1437711.05
1523984400,2018-04-17 05-PM,BTCUSD,8113.72,8114.08,8100.2,8103.93,35.91,291135.87
1523980800,2018-04-17 04-PM,BTCUSD,8082.5,8118.09,8082.5,8113.72,42.98,348308.71
1523977200,2018-04-17 03-PM,BTCUSD,8098.84,8100.28,8075.24,8082.5,48.42,391729.18
1523973600,2018-04-17 02-PM,BTCUSD,8094.54,8120,8073.95,8098.84,33.29,269823.47
1523970000,2018-04-17 01-PM,BTCUSD,8095.11,8111.97,8054.4,8094.54,85.11,688631.07
1523966400,2018-04-17 12-PM,BTCUSD,8107.4,8137.41,8095.11,8095.11,74.72,607271.24
1523962800,2018-04-17 11-AM,BTCUSD,8087.3,8107.4,8083.44,8107.4,13.07,105847.02
1523959200,2018-04-17 10-AM,BTCUSD,8136.4,8145.54,8075.78,8087.3,70.41,570424.24
1523955600,2018-04-17 09-AM,BTCUSD,8127.36,8150.05,8127.36,8136.4,21.61,175709.01
1523952000,2018-04-17 08-AM,BTCUSD,8114.2,8150,8114.2,8127.36,58.8,478188.96
1523948400,2018-04-17 07-AM,BTCUSD,8016.29,8155.68,8016.29,8114.2,119.52,969827.96
1523944800,2018-04-17 06-AM,BTCUSD,7971.32,8032.9,7971.32,8016.29,31.07,248699.82
