unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT
1638797400,2021-12-06 13:30:00,BTC/USDT,48377.29310895,48384.70448872,48026.78746088,48258.73224834,336249.73816561,6.97091829
1638795600,2021-12-06 13:00:00,BTC/USDT,48474.90753711,48701.82748013,48348.2594,48377.29310896,372668.40816761,7.68151887
1638793800,2021-12-06 12:30:00,BTC/USDT,48615.17734211,48798.36259789,48436.70067965,48453.96662347,722767.53581605,14.85213809
1638792000,2021-12-06 12:00:00,BTC/USDT,48570.6783748,48668.18094289,48318.41698911,48626.88980468,653753.88942378,13.48162638
1638790200,2021-12-06 11:30:00,BTC/USDT,47449.23549663,48715,47395.24871418,48568.24967611,2727590.0651445,56.58625622
1638788400,2021-12-06 11:00:00,BTC/USDT,47501.00077683,47554.52789444,47200,47451.60818821,1285202.68983917,27.16497073
1638786600,2021-12-06 10:30:00,BTC/USDT,47523.99527743,47728.90930248,47308.1683466,47505.91387716,770655.82107031,16.22143413
1638784800,2021-12-06 10:00:00,BTC/USDT,47424.39259367,47802.2026,47309.10000001,47550.98214109,1002925.11742961,21.06708879
1638783000,2021-12-06 09:30:00,BTC/USDT,48090.31620857,48095.60589765,47050,47424.39261367,2337313.02633645,49.27785967
1638781200,2021-12-06 09:00:00,BTC/USDT,48155.05239739,48317.43148858,47839.88490831,48083,379149.98588434,7.88825257
1638779400,2021-12-06 08:30:00,BTC/USDT,48205.81089369,48455.9014,47842.82912888,48179.63080234,1049705.90770591,21.8310621
1638777600,2021-12-06 08:00:00,BTC/USDT,48411,49400,47877.49256272,48219.81231664,2129282.29850965,43.7467931
1638775800,2021-12-06 07:30:00,BTC/USDT,47828.42369,48434.21668054,47771.81499191,48411.61812831,503052.18805456,10.45665976
1638774000,2021-12-06 07:00:00,BTC/USDT,48184.40176875,48305.99999,47764.64646464,47828.42369,329283.74532611,6.84100694
1638772200,2021-12-06 06:30:00,BTC/USDT,48681.62630146,48752.80125799,48089.1236,48200.35836781,370196.73547715,7.6606327
1638770400,2021-12-06 06:00:00,BTC/USDT,48678.02545473,48766.81145166,48532.42684637,48682.93623059,219916.48727213,4.51763162
1638768600,2021-12-06 05:30:00,BTC/USDT,48942.81099586,48976.7346461,48684.85144819,48698.73139832,131099.97510044,2.68712103
1638766800,2021-12-06 05:00:00,BTC/USDT,49028.47389789,49083.18954818,48861.064,48946.09841318,263927.9957455,5.39296951
1638765000,2021-12-06 04:30:00,BTC/USDT,49181.35687718,49224.62081505,48975.9454241,48975.9454241,174217.75787307,3.54385212
